# t Rcm_x Rcm_y RMS momentum d_min
9.70000000e-02 -1.36663065e-02 -3.76096719e-02 2.52846488e-01 2.06617619e-01 5.39474715e-03
9.80000000e-02 -1.36643663e-02 -3.76083497e-02 2.57496672e-01 2.06617619e-01 2.53224174e-03
9.90000000e-02 -1.36624260e-02 -3.76070275e-02 2.62123329e-01 2.06617619e-01 6.76900504e-03
1.00000000e-01 -1.36604857e-02 -3.76057054e-02 2.66694076e-01 2.06617619e-01 6.09190855e-03
1.01000000e-01 -1.36585455e-02 -3.76043832e-02 2.71181978e-01 2.06617619e-01 5.37760533e-03
1.02000000e-01 -1.36566052e-02 -3.76030610e-02 2.75572086e-01 2.06617619e-01 7.38594769e-03
1.03000000e-01 -1.36546650e-02 -3.76017388e-02 2.79855817e-01 2.06617619e-01 8.91381094e-03
1.04000000e-01 -1.36527247e-02 -3.76004166e-02 2.84025809e-01 2.06617619e-01 1.73283719e-03
1.05000000e-01 -1.36507845e-02 -3.75990945e-02 2.88076366e-01 2.06617619e-01 1.24528209e-02
1.06000000e-01 -1.36488442e-02 -3.75977723e-02 2.92003459e-01 2.06617619e-01 4.83117532e-03
1.07000000e-01 -1.36469039e-02 -3.75964501e-02 2.95804363e-01 2.06617619e-01 1.09533107e-02
1.08000000e-01 -1.36449637e-02 -3.75951279e-02 2.99477221e-01 2.06617619e-01 5.31955632e-03
1.09000000e-01 -1.36430234e-02 -3.75938057e-02 3.03023265e-01 2.06617619e-01 7.86323636e-03
1.10000000e-01 -1.36410832e-02 -3.75924835e-02 3.06448221e-01 2.06617619e-01 1.00860534e-02
1.11000000e-01 -1.36391429e-02 -3.75911614e-02 3.09761988e-01 2.06617619e-01 6.90131955e-03
1.12000000e-01 -1.36372026e-02 -3.75898392e-02 3.12974431e-01 2.06617619e-01 3.55427524e-03
1.13000000e-01 -1.36352624e-02 -3.75885170e-02 3.16089644e-01 2.06617619e-01 7.21106625e-04
1.14000000e-01 -1.36333221e-02 -3.75871948e-02 3.19112526e-01 2.06617619e-01 3.55820874e-03
1.15000000e-01 -1.36313819e-02 -3.75858726e-02 3.22057361e-01 2.06617619e-01 1.62517590e-03
1.16000000e-01 -1.36294416e-02 -3.75845505e-02 3.24940112e-01 2.06617619e-01 1.43922272e-03
1.17000000e-01 -1.36275014e-02 -3.75832283e-02 3.27771969e-01 2.06617619e-01 1.76547279e-03
1.18000000e-01 -1.36255611e-02 -3.75819061e-02 3.30552915e-01 2.06617619e-01 1.48540106e-02
1.19000000e-01 -1.36236208e-02 -3.75805839e-02 3.33269902e-01 2.06617619e-01 1.29079890e-02
1.20000000e-01 -1.36216806e-02 -3.75792617e-02 3.35912116e-01 2.06617619e-01 1.28322609e-02
1.21000000e-01 -1.36197403e-02 -3.75779395e-02 3.38473030e-01 2.06617619e-01 4.59469538e-03
1.22000000e-01 -1.36178001e-02 -3.75766174e-02 3.40949379e-01 2.06617619e-01 6.21092321e-03
1.23000000e-01 -1.36158598e-02 -3.75752952e-02 3.43341348e-01 2.06617619e-01 1.24435661e-02
1.24000000e-01 -1.36139196e-02 -3.75739730e-02 3.45644431e-01 2.06617619e-01 5.80406634e-03
1.25000000e-01 -1.36119793e-02 -3.75726508e-02 3.47855200e-01 2.06617619e-01 9.69956526e-03
1.26000000e-01 -1.36100390e-02 -3.75713286e-02 3.49971041e-01 2.06617619e-01 7.51294294e-03
1.27000000e-01 -1.36080988e-02 -3.75700065e-02 3.51982585e-01 2.06617619e-01 5.17970790e-03
1.28000000e-01 -1.36061585e-02 -3.75686843e-02 3.53878285e-01 2.06617619e-01 3.70794233e-03
1.29000000e-01 -1.36042183e-02 -3.75673621e-02 3.55650965e-01 2.06617619e-01 4.22953519e-03
1.30000000e-01 -1.36022780e-02 -3.75660399e-02 3.57297703e-01 2.06617619e-01 5.61046776e-03
1.31000000e-01 -1.36003378e-02 -3.75647177e-02 3.58819332e-01 2.06617619e-01 8.67255452e-03
1.32000000e-01 -1.35983975e-02 -3.75633956e-02 3.60220382e-01 2.06617619e-01 4.94696577e-03
1.33000000e-01 -1.35964572e-02 -3.75620734e-02 3.61508826e-01 2.06617619e-01 1.08712320e-02
1.34000000e-01 -1.35945170e-02 -3.75607512e-02 3.62692715e-01 2.06617619e-01 8.32932746e-03
1.35000000e-01 -1.35925767e-02 -3.75594290e-02 3.63779180e-01 2.06617619e-01 5.78875142e-03
1.36000000e-01 -1.35906365e-02 -3.75581068e-02 3.64779811e-01 2.06617619e-01 3.36047287e-03
1.37000000e-01 -1.35886962e-02 -3.75567846e-02 3.65708305e-01 2.06617619e-01 1.82588837e-03
1.38000000e-01 -1.35867559e-02 -3.75554625e-02 3.66574875e-01 2.06617619e-01 3.14755344e-03
1.39000000e-01 -1.35848157e-02 -3.75541403e-02 3.67388592e-01 2.06617619e-01 5.54186892e-03
1.40000000e-01 -1.35828754e-02 -3.75528181e-02 3.68155260e-01 2.06617619e-01 8.04352743e-03
